## Estado actual del proyecto — Marketing DEPA IA

Actualizado: 2026-07-27
Último foco: saldar deuda técnica acumulada (cold-start Ollama, URLs de clips, CI/CD).

---

### Cronología reciente

#### 2026-07-27 — Deuda técnica saldada: Ollama, clips y CI/CD

| Entrega | Detalle |
|---------|---------|
| **Cold-start Ollama** | `OllamaLLM` acepta `keep_alive` (`OLLAMA_KEEP_ALIVE`, default `30m`) y `timeout_seconds` (`LLM_TIMEOUT_SECONDS`, default 300s, antes 180 fijos). Evita que Ollama descargue el modelo entre runs y que la carga inicial de ~5GB agote el timeout |
| **URLs de clips** | `clip_public_url()` usa `PUBLIC_IMAGE_BASE_URL` en vez de `http://localhost:8000` hardcodeado — fal.ai wan-effects descarga el clip fuente a mitad de pipeline y con localhost fallaba siempre |
| **CI/CD** | `skaffold.yaml` (3 imágenes, tag por commit, `--default-repo` para no hardcodear el registry) + `clouddeploy.yaml` (staging → prod, prod con `requireApproval`) + overlays kustomize `dev`/`staging`/`prod` |
| **Deployment faltante** | `k8s/base/video-worker-deployment.yaml` — la cola `video_render` es obligatoria para reels y no tenía manifiesto; sin él los reels quedaban encolados para siempre en el clúster |
| **Bug de imagen** | `Dockerfile.worker` no instalaba `ffmpeg`, dependencia de sistema de `user_clip_reel`: en Kubernetes la transcripción habría fallado |
| **Tests** | `tests/test_llm_keep_alive.py` (5) + 2 nuevos en `test_clip_assets.py` → **160 passing**; los 3 overlays verificados con `kubectl kustomize` |

#### 2026-07-27 — Multi-cuenta social con selector por run

| Entrega | Detalle |
|---------|---------|
| **Modelo** | `oauth_tokens` acepta N cuentas por proveedor: `account_name`, `profile_picture_url`, `page_id`, `is_active` + unicidad `(tenant_id, provider, account_id)`; `agent_runs.social_account_id` fija la cuenta destino (migración Alembic `0007`) |
| **OAuth callback** | Upsert por `(tenant, provider, account_id)`: conectar una cuenta nueva **no** pisa las anteriores; reconectar refresca token. Meta guarda **una fila por Fan Page con IG vinculado** (username, foto y Page token por fila); LinkedIn trae nombre+foto vía OpenID userinfo |
| **API** | `GET /api/auth/accounts` (selector) y `DELETE /api/auth/accounts/{id}` (desconexión lógica); `RunRequest.social_account_id` viaja por `create_run` y `_run_params` |
| **Publicación dirigida** | `_resolve_publish_token`: cuenta exacta del run (valida tenant/provider/is_active con errores claros) o fallback legacy (cuenta activa más reciente del provider si `social_account_id` es NULL) |
| **Frontend** | Selector **Cuenta destino** en el formulario (filtrado por `red_social`, preselección si hay una sola); Integraciones lista cuentas con avatar + Desconectar + "Conectar otra cuenta" |
| **Go sidecar** | Sin cambios funcionales: ya era stateless (`access_token`+`account_id` por request); solo el gateway decide qué fila enviar |
| **Tests** | `tests/test_multi_account.py` (14 tests: multi-fila, callback multi-página, publish dirigido, regresión legacy) — suites afectadas verdes (47 passed) |

#### 2026-07-26 — Revisión de piezas: de stub a flujo real

| Entrega | Detalle |
|---------|---------|
| **Endpoint** | `POST /runs/{id}/revise` (`notes`, `revised_by`) — 404 fuera del tenant, 409 si el run no está en `pending_approval` |
| **Persistencia** | `AgentRun.run_params_json` + `revision_notes` + `revision_count` (migración Alembic `0006`); sin los params guardados la re-ejecución perdía arquetipo/foto/proveedor/carpeta Drive |
| **Propagación** | `revision_notes` viaja pipeline → Designer (prompt Flux + `visual_instructions`), VideoScriptAgent y ClipEditorAgent |
| **Ruteo** | Feed/story se regeneran inline; `reel`/`user_clip_reel` se encolan en `video_render` y responden `queued` |
| **Garantía HITL** | Una revisión nunca publica: `requires_approval=True` forzado e `idempotency_key=None` (evita que la deduplicación devuelva la versión anterior) |
| **Frontend** | `requestRevision` deja de ser stub: llama al endpoint, refresca el resultado y muestra estado "Regenerando…" |
